SightingDate	fullLocation	StateText	2013	City	lat	lon	bins	Shape
1/1/14 00:30	Bradenton, Florida	Florida	51763	Bradenton	27.4989278	-82.5748194	5	Fireball
1/1/14 00:30	Fairfax, Virginia	Virginia	23973	Fairfax	38.8462236	-77.3063733	2	Flash
1/1/14 00:30	South El Monte, California	California	20398	South El Monte	34.0488705	-118.045758102388	2	Sphere
1/1/14 00:42	Eastvale, California	California	55191	Eastvale	33.9766799	-117.5598444	5	Fireball
1/1/14 00:47	Fort Worth, Texas	Texas	792727	Fort Worth	32.753177	-97.3327459	79	Oval
1/1/14 01:00	Albuquerque, New Mexico	New Mexico	556495	Albuquerque	35.0841034	-106.6509851	55	Circle
1/1/14 01:00	American Fork, Utah	Utah	27813	American Fork	40.3768954	-111.7957645	2	Circle
1/1/14 01:00	Boca Raton, Florida	Florida	89407	Boca Raton	26.3586885	-80.0830984	8	Circle
1/1/14 01:00	Fanwood, New Jersey	New Jersey	7510	Fanwood	40.6409358	-74.383484	0	Fireball
1/1/14 01:00	Fayetteville, North Carolina	North Carolina	204408	Fayetteville	35.0529931	-78.8787058	20	Light
1/1/14 01:00	Tucson, Arizona	Arizona	526116	Tucson	32.2217429	-110.926479	52	Light
1/1/14 01:00	Chandler, Arizona	Arizona	249146	Chandler	33.3062563	-111.8412458	24	Egg
1/1/14 01:30	Lake Elsinore, California	California	57525	Lake Elsinore	33.6680772	-117.3272615	5	Fireball
1/1/14 01:45	Bradenton, Florida	Florida	51763	Bradenton	27.4989278	-82.5748194	5	Egg
1/1/14 03:00	La Mesa, California	California	58642	La Mesa	33.436568	-111.586066539042	5	Formation
1/1/14 17:00	Placentia, California	California	52206	Placentia	33.8722371	-117.8703363	5	Rectangle
1/1/14 17:50	Gilroy, California	California	51701	Gilroy	37.0065078	-121.5631723	5	Formation
1/1/14 18:00	Philadelphia, Pennsylvania	Pennsylvania	1553165	Philadelphia	39.952335	-75.163789	155	Light
1/1/14 18:30	Woodridge, Illinois	Illinois	33408	Woodridge	41.7473663	-88.046129	3	Fireball
1/1/14 18:46	San Diego, California	California	1355896	San Diego	32.7469869	-117.21177	135	Unknown
1/1/14 19:30	Pittsburgh, Pennsylvania	Pennsylvania	305841	Pittsburgh	40.4416941	-79.9900861	30	Circle
1/1/14 19:45	Boston, Massachusetts	Massachusetts	645966	Boston	42.3604823	-71.0595678	64	Egg
1/1/14 20:15	Pittsburgh, Pennsylvania	Pennsylvania	305841	Pittsburgh	40.4416941	-79.9900861	30	Fireball
1/1/14 20:30	Hickory, North Carolina	North Carolina	40361	Hickory	35.7331895	-81.3412006	4	Triangle
1/1/14 20:45	Powers, Oregon	Oregon	674	Powers	42.8834435	-124.073152	0	Unknown
1/1/14 21:00	Great Falls, Montana	Montana	59351	Great Falls	47.5048851	-111.2918908	5	Sphere
1/1/14 21:30	Spokane, Washington	Washington	210721	Spokane	47.6588603	-117.4247134	21	Light
1/1/14 22:00	Mount Ephraim, New Jersey	New Jersey	4663	Mount Ephraim	39.8784466	-75.0926738	0	Circle
1/1/14 22:15	Cincinnati, Ohio	Ohio	297517	Cincinnati	39.1014537	-84.5124602	29	Circle
1/1/14 23:00	Tucson, Arizona	Arizona	526116	Tucson	32.2217429	-110.926479	52	Light
1/1/14 23:00	North Myrtle Beach, South Carolina	South Carolina	14827	North Myrtle Beach	33.8160058	-78.680016	1	Fireball
1/10/13 12:20	Montgomery, Texas	Texas	676	Montgomery	30.301949	-95.5065944	0	Sphere
1/10/13 13:00	McGregor, Minnesota	Minnesota	376	McGregor	46.6066151	-93.313842	0	Triangle
1/10/13 19:00	Madison Heights, Michigan	Michigan	30226	Madison Heights	42.4858692	-83.1052028	3	Circle
1/10/13 22:00	Springfield, Ohio	Ohio	59357	Springfield	39.9242266	-83.8088172	5	Fireball
1/10/13 22:00	Madison, Alabama	Alabama	45799	Madison	43.074761	-89.3837613	4	Triangle
1/10/14 06:00	Placentia, California	California	52206	Placentia	33.8722371	-117.8703363	5	Rectangle
1/10/14 06:15	El Paso, Texas	Texas	674433	El Paso	31.8111305	-106.501349395577	67	Circle
1/10/14 06:30	Coal Creek, Colorado	Colorado	338	Coal Creek	39.9539632	-105.1641513	0	Sphere
1/10/14 09:57	Hartford, Connecticut	Connecticut	125017	Hartford	41.7634935	-72.6830523	12	Flash
1/10/14 17:30	Placentia, California	California	52206	Placentia	33.8722371	-117.8703363	5	Rectangle
1/10/14 20:00	Yuma, Arizona	Arizona	91923	Yuma	32.7253249	-114.624397	9	Unknown
1/10/14 20:00	Knoxville, Tennessee	Tennessee	183270	Knoxville	35.9603948	-83.9210261	18	Light
1/10/14 20:50	Newport Beach, California	California	87273	Newport Beach	33.6170092	-117.9294401	8	Fireball
1/10/14 21:15	Lowell, Michigan	Michigan	3859	Lowell	42.6334247	-71.3161718	0	Flash
1/10/14 23:50	Napa, California	California	79068	Napa	38.2971367	-122.2855293	7	Circle
1/11/13 07:30	Hamlet, North Carolina	North Carolina	6605	Hamlet	34.8848775	-79.6942222	0	Sphere
1/11/13 18:30	Plantation, Florida	Florida	90268	Plantation	27.0643665	-82.3683071079892	9	Other
1/11/13 21:30	Orlando, Florida	Florida	255483	Orlando	28.5421175	-81.3790462	25	Light
1/11/13 21:50	Miami, Florida	Florida	417650	Miami	25.7742658	-80.1936589	41	Fireball
1/11/14 00:00	Mountlake Terrace, Washington	Washington	20674	Mountlake Terrace	47.7909667	-122.3066395	2	Light
1/11/14 16:00	Roseville, Minnesota	Minnesota	34934	Roseville	45.0060767	-93.1566107	3	Fireball
1/11/14 16:50	La Junta, Colorado	Colorado	7079	La Junta	37.9850091	-103.5438321	0	Oval
1/11/14 17:15	Princeton, Minnesota	Minnesota	4694	Princeton	45.5726619	-93.5853656	0	Triangle
1/11/14 18:00	Tucson, Arizona	Arizona	526116	Tucson	32.2217429	-110.926479	52	Cigar
1/11/14 19:00	Palmdale, California	California	157161	Palmdale	34.585059	-118.124314859503	15	Fireball
1/11/14 19:20	Boca Raton, Florida	Florida	89407	Boca Raton	26.3586885	-80.0830984	8	Light
1/11/14 19:20	Deerfield Beach, Florida	Florida	78041	Deerfield Beach	26.318342	-80.0996306	7	Unknown
1/11/14 19:30	Pueblo, Colorado	Colorado	108249	Pueblo	38.2544472	-104.609141	10	Sphere
1/11/14 20:00	Falmouth, Kentucky	Kentucky	2152	Falmouth	38.6767372	-84.3302142	0	Circle
1/11/14 21:05	Palo Alto, California	California	66642	Palo Alto	37.442156	-122.1634472	6	Formation
1/11/14 22:25	New York, New York	New York	8405837	New York City (Queens)	40.7501423	-73.9391295	840	Light
1/11/14 22:40	Davie, Florida	Florida	96830	Davie	26.0758363	-80.2841078887731	9	Fireball
1/12/13 00:30	Syracuse, Utah	Utah	25775	Syracuse	41.0895938	-112.0638903	2	Circle
1/12/13 01:00	Bozeman, Montana	Montana	39860	Bozeman	45.6799842	-111.0446748	3	Flash
1/12/13 05:45	Vancouver, Washington	Washington	167405	Vancouver	45.6306954	-122.6744557	16	Circle
1/12/13 16:45	Orlando, Florida	Florida	255483	Orlando	28.5421175	-81.3790462	25	Fireball
1/12/13 17:55	Sacramento, California	California	479686	Sacramento	38.4732259	-121.2980707	47	Light
1/12/13 19:00	Clayton, Georgia	Georgia	2234	Clayton	33.5204959	-84.3591713	0	Oval
1/12/13 19:30	Boise, Idaho	Idaho	214237	Boise	43.615046	-116.2044429	21	Rectangle
1/12/13 21:00	Kennesaw, Georgia	Georgia	32001	Kennesaw	34.0234337	-84.6154897	3	Oval
1/12/13 21:00	Sioux Falls, South Dakota	South Dakota	164676	Sioux Falls	43.5499749	-96.700327	16	Light
1/12/13 21:45	Grass Valley, California	California	12793	Grass Valley	39.2289075	-121.068590276735	1	Sphere
1/12/13 22:00	Lexington, South Carolina	South Carolina	19576	Lexington	33.9815369	-81.2362107	1	Light
1/12/13 22:15	Orem, Utah	Utah	91648	Orem	40.2975185	-111.6944685	9	Sphere
1/12/14 00:05	Northport, New York	New York	7405	Northport	40.9009314	-73.3431727	0	Diamond
1/12/14 00:56	Lawton, Oklahoma	Oklahoma	97151	Lawton	34.6086854	-98.3903305	9	Teardrop
1/12/14 10:00	Northern Cambria, Pennsylvania	Pennsylvania	3729	Northern Cambria	40.6592342	-78.7816937	0	Circle
1/12/14 11:00	Chambersburg, Pennsylvania	Pennsylvania	20508	Chambersburg	39.9405903	-77.6598624	2	Cigar
1/12/14 13:25	Charlotte, North Carolina	North Carolina	792862	Charlotte	35.2270869	-80.8431268	79	Cigar
1/12/14 13:35	Huntsville, Alabama	Alabama	186254	Huntsville	34.762807	-86.6840273747541	18	Disk
1/12/14 13:35	Marion, South Carolina	South Carolina	6803	Marion	34.178216	-79.4006069	0	Disk
1/12/14 15:30	Melbourne, Florida	Florida	77508	Melbourne	28.0836269	-80.6081089	7	Cylinder
1/12/14 15:30	Melbourne, Florida	Florida	668	Melbourne	28.0836269	-80.6081089	0	Cylinder
1/12/14 17:00	Great Falls, Montana	Montana	59351	Great Falls	47.5048851	-111.2918908	5	Unknown
1/12/14 17:00	Inverness, Mississippi	Mississippi	978	Inverness	33.3537315	-90.5925907	0	Cigar
1/12/14 17:15	Georgetown, Kentucky	Kentucky	30872	Georgetown	38.2097967	-84.5588311	3	Light
1/12/14 18:00	New Orleans, Louisiana	Louisiana	378715	New Orleans	29.9499323	-90.0701156	37	Light
1/12/14 18:30	Palatka, Florida	Florida	10482	Palatka	29.6487882	-81.6372111	1	Fireball
1/12/14 19:00	Easton, Pennsylvania	Pennsylvania	27073	Easton	40.6916081	-75.2099866	2	Light
1/12/14 19:00	Clawson, Michigan	Michigan	12048	Clawson	42.5333682	-83.1463166	1	Rectangle
1/12/14 19:30	Rochester, New York	New York	210358	Rochester	43.1572851	-77.6152141	21	Light
1/12/14 20:15	Cleveland, Ohio	Ohio	390113	Cleveland	41.4871888	-81.6778691	39	Light
1/12/14 20:15	Hartwell, Georgia	Georgia	4507	Hartwell	51.8053547	-0.8550168	0	Triangle
1/12/14 22:35	Dallas, Georgia	Georgia	12415	Dallas	32.7761963	-96.7968994	1	Oval
1/12/14 23:30	Haledon, New Jersey	New Jersey	8385	Haledon	40.935654	-74.186256	0	Circle
1/13/13 00:40	Troy, Michigan	Michigan	82821	Troy	42.6055893	-83.1499304	8	Circle
