SightingDate	fullLocation	StateText	2013
1/16/14 18:27	Birmingham, Alabama	Alabama	212113
1/16/14 23:16	Coldwater, Mississippi	Mississippi	1626
1/17/13 23:00	Pearland, Texas	Texas	100065
1/17/14 02:18	Las Vegas, Nevada	Nevada	603488
1/17/14 02:45	Orlando, Florida	Florida	255483
1/17/14 22:35	Troy, Ohio	Ohio	25445
1/18/14 20:00	Jackson, Louisiana	Louisiana	3790
1/18/14 20:45	Portland, Oregon	Oregon	609456
1/19/13 22:00	Shelby, North Carolina	North Carolina	20325
1/2/13 01:45	Seattle, Washington	Washington	652405
1/2/14 17:30	Austin, Texas	Texas	885400
1/20/13 21:00	Flomaton, Alabama	Alabama	1425
1/20/14 16:40	El Cajon, California	California	102211
1/20/14 18:00	Litchfield Park, Arizona	Arizona	5306
1/20/14 19:15	Jupiter, Florida	Florida	58298
1/20/14 21:30	Summerville, South Carolina	South Carolina	46074
1/21/13 16:50	New Hope, Alabama	Alabama	2799
1/21/14 06:00	Thousand Oaks, California	California	128731
1/21/14 07:15	Morrisville, Pennsylvania	Pennsylvania	8668
1/22/13 06:30	Gray Court, South Carolina	South Carolina	787
1/22/13 20:45	Myrtle Beach, South Carolina	South Carolina	29175
1/22/13 20:53	Myrtle Beach, South Carolina	South Carolina	29175
1/23/14 02:00	Huntsville, Alabama	Alabama	186254
1/23/14 20:30	Phoenix, Arizona	Arizona	1513367
1/23/14 23:40	Noblesville, Indiana	Indiana	56540
1/24/13 21:00	New Washington, Ohio	Ohio	944
1/24/14 19:00	Seattle, Washington	Washington	652405
1/25/13 19:00	Sacramento, California	California	479686
1/25/14 01:30	Salem, Oregon	Oregon	160614
1/25/14 02:30	Centennial, Colorado	Colorado	106114
1/1/13 00:00	New Port Richey, Florida	Florida	15087
1/1/13 00:01	Portland, Oregon	Oregon	609456
1/1/13 00:10	Jupiter, Florida	Florida	58298
1/1/13 00:12	Port Richey, Florida	Florida	2689
1/1/13 00:13	Ridgecrest, California	California	28600
1/1/13 00:15	Claremont, New Hampshire	New Hampshire	13051
1/1/13 00:20	Fort Worth, Texas	Texas	792727
1/1/13 00:30	Palm Desert, California	California	50508
1/1/13 00:37	Ormond beach, Florida	Florida	38661
1/1/13 01:15	St. George, Utah	Utah	76817
1/1/13 01:35	Midvale, Utah	Utah	30764
1/1/13 06:04	Jacksonville Beach, Florida	Florida	21823
1/1/13 07:25	Westminster, Vermont	Vermont	287
1/1/13 21:50	Fountain Hills, Arizona	Arizona	23235
1/1/14 00:00	Trussville, Alabama	Alabama	20368
1/1/14 00:05	Austin, Texas	Texas	885400
1/1/14 00:07	Deltona, Florida	Florida	86290
1/1/14 00:10	Fairborn, Ohio	Ohio	33213
1/1/14 00:30	Temecula, California	California	106780
1/10/13 19:00	Madison Heights, Michigan	Michigan	30226
1/10/14 23:50	Napa, California	California	79068
1/11/14 16:50	La Junta, Colorado	Colorado	7079
1/11/14 19:00	Palmdale, California	California	157161
1/11/14 22:40	Davie, Florida	Florida	96830
1/12/13 05:45	Vancouver, Washington	Washington	167405
1/12/14 13:35	Marion, South Carolina	South Carolina	6803
1/12/14 18:00	New Orleans, Louisiana	Louisiana	378715
1/12/14 19:00	Easton, Pennsylvania	Pennsylvania	27073
1/13/13 18:15	Jackson, Missouri	Missouri	14386
1/13/13 20:30	Indian Harbour Beach, Florida	Florida	8290
1/14/13 07:00	Rancho Cucamonga, California	California	171386
1/14/13 20:00	Maricopa, Arizona	Arizona	45508
1/14/14 22:40	Kimberly, Idaho	Idaho	3432
1/17/13 06:30	Nehalem, Oregon	Oregon	267
1/17/14 19:35	Santa Ana, California	California	334227
1/17/14 22:30	Naples, Florida	Florida	20537
1/18/14 00:10	Wichita, Kansas	Kansas	386552
1/18/14 09:06	St. George, Utah	Utah	76817
