"","SightingDate","City","State","Shape","Duration","lon","lat","MilitaryDist","AirportDist","MeterologicalDist","SwampDist","HospitalDist","GolfDist","StorDist","MallDist","LibDist","Hour","Season","Month","Date","Year","Day","Date.Date","MilSw.diff","MilMet.diff","MetSw.diff","is.Round","Sw.Nearest","Met.Nearest","Mil.Nearest","mil.to.swamp.pref.rating","mil.to.swamp.pref.units","mil.to.met.pref.rating","mil.to.met.pref.units","MilMet.diff.mean.by.Roundness"
"3798","8/18/13 20:06","Bristol","CT","Fireball","5 minutes",-71.0856545,41.7425538,23.0845168515729,12.9936304218051,23.4026178518848,1.03620133119096,4.39923810034511,12.747941329601,27.1995019380903,4.31281588095308,7.25388554368161,20,"Summer",8,0013-08-18,13,18,2013-08-18,22.0483155203819,-0.318101000311895,22.3664165206938,1,TRUE,FALSE,FALSE,0.0448872869141448,0.955112713085855,1.01377984223613,0.0137798422361272,4.21601663434953
"3800","8/18/13 19:30","Temecula","CA","Circle","~20 seconds",-117.1473661,33.4946353,14.0092202837801,9.01654669464595,38.8060936685254,37.0454712532703,7.90445455238821,2.88985998850739,43.9065491095705,1.04203707490286,3.01951973429074,19,"Summer",8,0013-08-18,13,18,2013-08-18,-23.0362509694902,-24.7968733847452,1.76062241525507,1,FALSE,FALSE,TRUE,2.64436353364801,1.64436353364802,2.7700395084411,1.7700395084411,4.21601663434953
"3801","8/18/13 19:30","Centralia","WA","Light","4:30 am",-122.9614303,46.7204489,25.2818907444696,28.0425160860969,65.2468748105375,20.4659658037636,2.06325351177971,1.5232774411378,34.6201265243176,2.50075607256653,100.796611589744,19,"Summer",8,0013-08-18,13,18,2013-08-18,4.81592494070603,-39.9649840660679,44.780909006774,0,TRUE,FALSE,FALSE,0.809510887085868,0.190489112914132,2.58077512754105,1.58077512754105,2.65613366421381
"3803","8/18/13 13:45","Ingleside","IL","Changing","10 minutes",-97.2067479147068,27.8666025,3.19546240381616,21.0144272112422,13.1144122469501,40.6982784346722,6.93353049901159,21.8657292736065,19.5213462523013,21.8775288959058,13.7886863327184,13,"Summer",8,0013-08-18,13,18,2013-08-18,-37.5028160308561,-9.91894984313399,-27.5838661877221,0,FALSE,FALSE,TRUE,12.7362720293841,11.7362720293841,4.10407339835648,3.10407339835648,2.65613366421381
"3805","8/18/13 09:00","Findlay","OH","Sphere","1 hour",-83.6499321,41.0442201,54.8225733986256,3.90752669352898,59.4852379412966,25.2172263374004,1.51794936782201,8.0104306068718,61.6486631758946,1.71115342914623,0.454458862523973,9,"Summer",8,0013-08-18,13,18,2013-08-18,29.6053470612253,-4.662664542671,34.2680116038963,1,TRUE,FALSE,FALSE,0.4599788877848,0.5400211122152,1.08505008527724,0.0850500852772426,4.21601663434953
"3806","8/18/13 08:45","Poteau","OK","Oval","15 minutes",-94.6235579,35.0537094,35.3725304805848,39.1275793938311,3.56845758406188,110.380624533161,40.0052051012094,40.0733483637692,200.454907330086,4.21738193169657,40.8840222857713,8,"Summer",8,0013-08-18,13,18,2013-08-18,-75.0080940525758,31.8040728965229,-106.812166949099,1,FALSE,TRUE,FALSE,3.12051818271091,2.12051818271091,0.100882168608789,0.899117831391211,4.21601663434953
"3807","8/18/13 05:30","Austin","TX","Rectangle","75 minutes",-97.7436995,30.2711286,39.1867308299003,5.5196791067262,5.52291150657524,74.4375503522146,1.15934207422538,5.32213562666202,0.142136441478589,2.73241223966957,0.263986053303529,5,"Summer",8,0013-08-18,13,18,2013-08-18,-35.2508195223143,33.6638193233251,-68.9146388456394,0,FALSE,TRUE,FALSE,1.89956010046689,0.899560100466894,0.140938307167005,0.859061692832995,2.65613366421381
"3808","8/18/13 03:30","La Mesa","CA","Flash","30 minutes",-111.586066539042,33.436568,68.9407617163442,13.4409712415926,91.6197998089083,102.882105407558,21.8898321051306,8.03024087294496,2.42408526976602,7.82690909524172,32.2623068582124,3,"Summer",8,0013-08-18,13,18,2013-08-18,-33.9413436912135,-22.6790380925641,-11.2623055986495,0,FALSE,FALSE,TRUE,1.4923262065317,0.492326206531699,1.32896413570068,0.328964135700685,2.65613366421381
"3809","8/18/13 03:15","Paradise","MT","Circle","3 minutes",-115.1466753,36.0971963,14.2770997916469,1.97064418280833,47.7908433050232,111.161650084326,2.47017374361968,3.25018132550272,4.32204370192123,0.709133158098496,148.406968348001,3,"Summer",8,0013-08-18,13,18,2013-08-18,-96.8845502926789,-33.5137435133763,-63.3708067793027,1,FALSE,FALSE,TRUE,7.78601058384162,6.78601058384162,3.34737754883412,2.34737754883412,4.21601663434953
"3811","8/17/13 23:30","Ravenswood","WV","Sphere","2 minutes",-81.7609646,38.9481366,65.1888856108522,49.9402602961077,29.4213861445128,67.2588682339364,14.1923769843285,36.4787164598257,137.728776200894,1.32124961115345,14.896021457135,23,"Summer",8,0013-08-17,13,17,2013-08-17,-2.06998262308427,35.7674994663394,-37.8374820894236,1,FALSE,TRUE,FALSE,1.03175361265479,0.0317536126547878,0.451325189391103,0.548674810608897,4.21601663434953
"3813","8/17/13 22:30","Kure Beach","NC","Fireball","10 seconds",-77.9072081,33.9968399,0.378308494691844,30.4453963749721,16.163492774282,6.55335977033075,12.9918825950691,65.4703752247896,201.543064041285,24.4664016869888,95.4770410238602,22,"Summer",8,0013-08-17,13,17,2013-08-17,-6.17505127563891,-15.7851842795902,9.61013300395127,1,FALSE,FALSE,TRUE,17.3227930704249,16.3227930704249,42.7256934514468,41.7256934514468,4.21601663434953
"3814","8/17/13 22:20","Corunna (Canada)","ON","Sphere","5 minutes",-82.4533014,42.8885911,41.5710290246726,6.63828214350394,7.22771161877667,35.2472193560938,7.68668178181171,2.29536363006353,64.4084937836297,9.1667031130323,78.4736810436959,22,"Summer",8,0013-08-17,13,17,2013-08-17,6.32380966857876,34.3433174058959,-28.0195077373171,1,FALSE,TRUE,FALSE,0.847879405034079,0.152120594965921,0.173864149826241,0.826135850173759,4.21601663434953
"3815","8/17/13 22:15","St. Clair","MI","Unknown","2 minutes",-93.7945456,38.0592942,74.7993797492919,75.1400133071291,93.7183790071252,47.8619798205437,29.5519129886434,42.1627066561646,110.02414675162,36.5884221909633,49.9087696973032,22,"Summer",8,0013-08-17,13,17,2013-08-17,26.9373999287482,-18.9189992578333,45.8563991865816,0,TRUE,FALSE,FALSE,0.639871346272718,0.360128653727282,1.2529298948901,0.252929894890104,2.65613366421381
"3816","8/17/13 22:10","Fort Wayne","IN","Unknown","5-10 minutes",-85.1386015,41.0799898,10.5058299341708,7.14506679428832,73.4255001370563,49.8696856240869,0.901050405767292,31.2121293545984,1.6376808385155,3.11272711634401,34.8332159136298,22,"Summer",8,0013-08-17,13,17,2013-08-17,-39.3638556899161,-62.9196702028856,23.5558145129695,0,FALSE,FALSE,TRUE,4.74685826218099,3.74685826218099,6.98902424626503,5.98902424626503,2.65613366421381
"3817","8/17/13 22:08","Grand Rapids","MI","Oval","12 minutes",-85.6680863,42.9633599,75.673641521568,14.9715783024333,42.453819054583,7.7075594767512,0.685249235603531,6.61973641518698,0.84914083228868,8.34798666520571,8.85797080887143,22,"Summer",8,0013-08-17,13,17,2013-08-17,67.9660820448168,33.219822466985,34.7462595778318,1,TRUE,FALSE,FALSE,0.101852630873518,0.898147369126482,0.561011974592013,0.438988025407987,4.21601663434953
"3818","8/17/13 22:05","Lowell","MA","Circle","90 seconds",-71.3161718,42.6334247,17.3104564906544,18.3051440850781,24.3885266999955,5.2359199792161,1.41286474355993,3.96755882746766,29.9444766268625,0.881613635641495,0.787082662116111,22,"Summer",8,0013-08-17,13,17,2013-08-17,12.0745365114383,-7.07807020934108,19.1526067207794,1,TRUE,FALSE,FALSE,0.302471513795311,0.697528486204689,1.40888986452566,0.408889864525664,4.21601663434953
"3819","8/17/13 22:00","San Gabriel","CA","Fireball","4 minutes",-118.1086041,34.0991325,12.597358460587,12.5147826513177,15.4132049350629,34.3793700980089,0.295328624523737,1.36005104711439,5.25565953200161,1.70680643012059,0.936998346983503,22,"Summer",8,0013-08-17,13,17,2013-08-17,-21.782011637422,-2.81584647447592,-18.966165162946,1,FALSE,FALSE,TRUE,2.72909357986206,1.72909357986206,1.22352674041036,0.223526740410363,4.21601663434953
"3820","8/17/13 22:00","Danbury","CT","Circle","8 minutes",-73.4752905075937,41.39508,39.3297126346374,2.68059566298094,30.1468264894789,2.12802017735986,2.62810902611848,4.423245024773,35.0835775733943,2.17088560166675,1.82135628866464,22,"Summer",8,0013-08-17,13,17,2013-08-17,37.2016924572776,9.18288614515859,28.018806312119,1,TRUE,FALSE,FALSE,0.0541071885555991,0.945892811444401,0.766515300265091,0.233484699734909,4.21601663434953
"3821","8/17/13 21:58","Canton","OH","Sphere","1.5 minutes",-81.3784445,40.7989522,43.8936517247765,14.0847258281126,36.5607960397665,12.4844874645008,0.683114266326152,6.9718839022893,27.6329636730116,3.70222700766795,0.280380174376046,21,"Summer",8,0013-08-17,13,17,2013-08-17,31.4091642602757,7.33285568501007,24.0763085752657,1,TRUE,FALSE,FALSE,0.284425810428839,0.715574189571161,0.832940404890694,0.167059595109306,4.21601663434953
"3823","8/17/13 21:27","Saint Johns","MI","Sphere","3-4 minutes",-81.4145468,29.9032284,41.8108341638655,9.52260233618819,9.52256192006638,1.69399652516368,8.75190800541235,38.9616544909111,31.0149388058481,8.93702009302255,9.34292790318851,21,"Summer",8,0013-08-17,13,17,2013-08-17,40.1168376387018,32.2882722437991,7.82856539490271,1,TRUE,FALSE,FALSE,0.0405157313658117,0.959484268634188,0.227753454588958,0.772246545411042,4.21601663434953
"3824","8/17/13 21:24","San Marcos","CA","Light","15 minutes",-97.9405828,29.8826436,48.9181400240625,43.3781626544858,7.38246015489106,73.4084427841253,3.60649095039281,51.0542939864846,37.798294109577,41.0726456141531,16.6493631603979,21,"Summer",8,0013-08-17,13,17,2013-08-17,-24.4903027600628,41.5356798691714,-66.0259826292342,0,FALSE,TRUE,FALSE,1.50063846965596,0.500638469655964,0.150914571798103,0.849085428201897,2.65613366421381
"3826","8/17/13 21:15","Marlborough","MA","Light","~2 minutes",-71.5522874,42.3459271,24.5822459114798,25.6388931282516,24.8552702433081,2.55459536122619,1.03551025064382,8.53867315304369,31.2910331538954,1.44561710349614,0.2054662490606,21,"Summer",8,0013-08-17,13,17,2013-08-17,22.0276505502536,-0.273024331828264,22.3006748820819,0,TRUE,FALSE,FALSE,0.103920340331198,0.896079659668802,1.01110656580409,0.0111065658040937,2.65613366421381
"3827","8/17/13 21:10","Shepherdstown","WV","Rectangle","5 minutes",-77.804161,39.4300996,29.3863199327578,27.9216512253565,43.0797190256392,40.1263011861581,9.29163601685777,36.9320966712397,82.7826143583425,13.5839930039692,5.76011363501254,21,"Summer",8,0013-08-17,13,17,2013-08-17,-10.7399812534003,-13.6933990928815,2.95341783948119,0,FALSE,FALSE,TRUE,1.3654755436535,0.365475543653498,1.46597869771427,0.465978697714273,2.65613366421381
"3828","8/17/13 21:09","Seattle/Kirkland","WA","Formation","20 minutes",-122.2008377,47.6753229,16.341773791522,9.85062305362345,17.435204902868,13.1390681032799,4.76753728226053,2.51463426435665,0.290341958406791,0.382338044984819,10.8034623659211,21,"Summer",8,0013-08-17,13,17,2013-08-17,3.20270568824206,-1.09343111134603,4.29613679958809,0,TRUE,FALSE,FALSE,0.804017254852493,0.195982745147507,1.06691018522807,0.0669101852280746,2.65613366421381
"3829","8/17/13 21:00","Conneaut Lake","PA","Light","6 minutes",-80.3053416,41.6033875,47.8091405968219,44.7491068439763,8.13364984284789,6.2914779350031,13.6531041261012,3.82337752980972,62.7518200071204,41.3109991811497,14.1040404809695,21,"Summer",8,0013-08-17,13,17,2013-08-17,41.5176626618188,39.675490753974,1.84217190784479,0,TRUE,FALSE,FALSE,0.131595712796003,0.868404287203997,0.170127505772161,0.829872494227839,2.65613366421381
"3830","8/17/13 21:00","Sag Harbor","NY","Circle","30 minutes",-72.2925819,40.9978773,34.0840149524752,33.2617823556016,5.4681569037276,9.15628074512628,14.529599484769,2.62269469351332,58.9307575906802,33.529556873595,33.0581492329373,21,"Summer",8,0013-08-17,13,17,2013-08-17,24.9277342073489,28.6158580487476,-3.68812384139868,1,FALSE,TRUE,FALSE,0.268638561445689,0.731361438554311,0.160431712970203,0.839568287029797,4.21601663434953
